cve_id,url
CVE-2024-56363,https://github.com/APTRS/APTRS/commit/9f6b6e4a56a9119eb12126a4909441e83b6d7c11
CVE-2024-7473,https://github.com/lunary-ai/lunary/commit/88b55b01fcbab0fbbc5b8032a38d0345af98ecfa
CVE-2024-6985,https://github.com/parisneo/lollms/commit/28ee567a9a120967215ff19b96ab7515ce469620
CVE-2024-8768,https://github.com/vllm-project/vllm/pull/7746
CVE-2024-7807,https://github.com/gaizhenbiao/chuanhuchatgpt/commit/919222d285d73b9dcd71fb34de379eef8c90d175
CVE-2024-8309,https://github.com/langchain-ai/langchain/commit/c2a3021bb0c5f54649d380b42a0684ca5778c255
CVE-2024-7042,https://github.com/langchain-ai/langchainjs/commit/615b9d9ab30a2d23a2f95fb8d7acfdf4b41ad7a6
CVE-2024-7962,https://github.com/gaizhenbiao/chuanhuchatgpt/commit/2836fd1db3efcd5ede63c0e7fbbdf677730dbb51
CVE-2024-8143,https://github.com/gaizhenbiao/chuanhuchatgpt/commit/ccc7479ace5c9e1a1d9f4daf2e794ffd3865fc2b
CVE-2024-7783,https://github.com/mintplex-labs/anything-llm/commit/4430ddb05988470bc8f0479e7d07db1f7d4646ba
CVE-2025-25183,https://github.com/vllm-project/vllm/pull/12621
CVE-2025-24357,https://github.com/vllm-project/vllm/pull/12366
